Soda Name,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient
Pepsi Soda Cola -,Pepsi Soda Cola -,Carbonated Water,High Fructose Corn Syrup,Caramel Color,Sugar,Phosphoric Acid,Caffeine,Citric Acid,Natural Flavor,,,,,,,,,,,,,,,
Coca-Cola Soda Pop Classic -,Coca-Cola Soda Pop Classic -,Carbonated Water,High Fructose Corn Syrup,Caramel Color,Phosphoric Acid,Natural Flavor,Caffeine,,,,,,,,,,,,,,,,,
Pepsi Soda Diet -,Pepsi Soda Diet -,Water,Caramel Color,Aspartame,Phosphoric Acid,Potassium Benzoate,Caffeine,Citric Acid,Natural Flavor,Acesulfame Potassium,,,,,,,,,,,,,,
Pepsi Soda Cola Wild Cherry -,Pepsi Soda Cola Wild Cherry -,Carbonated Water,High Fructose Corn Syrup,Caramel Color,Sugar,Phosphoric Acid,Natural Flavor,Caffeine,Citric Acid,,,,,,,,,,,,,,,
RC Cola Soda In Can -,RC Cola Soda In Can -,Carbonated Water,High Fructose Corn Syrup,Caramel Color,Phosphoric Acid,Caffeine,Natural Flavor,Acacia Gum,,,,,,,,,,,,,,,,
Dr Pepper Soda Bottle -,Dr Pepper Soda Bottle -,Carbonated Water,High Fructose Corn Syrup,Caramel Color,Phosphoric Acid,Natural And Artificial Flavors,Sodium Benzoate,Caffeine,,,,,,,,,,,,,,,,
Pepsi Soda Diet -,Pepsi Soda Diet -,Carbonated Water,Caramel Color,Aspartame,Phosphoric Acid,Potassium Benzoate,Caffeine,Citric Acid,Natural Flavor,Acesulfame Potassium,,,,,,,,,,,,,,
Coca-Cola Soda Pop Cherry Zero Sugar -,Coca-Cola Soda Pop Cherry Zero Sugar -,Carbonated Water,Caramel Color,Phosphoric Acid,Aspartame,Potassium Benzoate,Natural Flavor,Acesulfame Potassium,Potassium Citrate,Caffeine,,,,,,,,,,,,,,
Pepsi Max Soda Cola Zero Sugar -,Pepsi Max Soda Cola Zero Sugar -,Carbonated Water,Caramel Color,Phosphoric Acid,Aspartame,Potassium Benzoate,Caffeine,Natural Flavor,Acesulfame Potassium,Citric Acid,Calcium Disodium Edta,Panax Ginseng Root Extract,,,,,,,,,,,,
,,Filtered Carbonated Water,High Fructose Corn Syrup,Citric Acid,Potassium Citrate,Potassium Benzoate,Natural Flavor,Red 40,Blue 1,,,,,,,,,,,,,,,
Canada Dry Soda Zero Sugar Ginger Ale -,Canada Dry Soda Zero Sugar Ginger Ale -,Carbonated Water And Less Than 2% Of: Ginger Extract,Natural Flavor,Citric Acid,Malic Acid,Sodium Citrate,Sodium Benzoate,Calcium Disodium Edta,Aspartame,Acesulfame Potassium,Caramel Color,,,,,,,,,,,,,
A,A,Carbonated Water,Caramel Color,Sodium Benzoate,Aspartame,Acesulfame Potassium,Natural And Artificial Flavors,Malic Acid,Quillaia Extract,,,,,,,,,,,,,,,
Coca-Cola Zero Sugar Soda Fridge Pack Cans -,Coca-Cola Zero Sugar Soda Fridge Pack Cans -,Carbonated Water,Caramel Color,Phosphoric Acid,Aspartame,Potassium Benzoate,Natural Flavor,Potassium Citrate,Acesulfame Potassium,Caffeine,,,,,,,,,,,,,,
Coca-Cola Zero Sugar Soda Bottle -,Coca-Cola Zero Sugar Soda Bottle -,Ingredients: Carbonated Water,Caramel Color,Phosphoric Acid,Aspartame,Potassium Benzoate,Natural Flavor,Potassium Citrate,Acesulfame Potassium,Caffeine,,,,,,,,,,,,,,
Coca-Cola Zero Sugar Soda Bottle -,Coca-Cola Zero Sugar Soda Bottle -,Carbonated Water,Caramel Color,Phosphoric Acid,Aspartame,Potassium Benzoate,Natural Flavor,Potassium Citrate,Acesulfame Potassium,Caffeine,,,,,,,,,,,,,,
Coca-Cola Soda Pop Cherry Zero Sugar -,Coca-Cola Soda Pop Cherry Zero Sugar -,Carbonated Water,Caramel Color,Phosphoric Acid,Aspartame,Potassium Benzoate,Natural Flavor,Acesulfame Potassium,Potassium Citrate,Caffeine,,,,,,,,,,,,,,
Sierra Mist Soda Cranberry Splash -,Sierra Mist Soda Cranberry Splash -,Carbonated Water,High Fructose Corn Syrup,Natural Flavor,Citric Acid,Tartaric Acid,Malic Acid,Potassium Benzoate,Potassium Citrate,Red 40,Calcium Disodium Edta,Blue 1,,,,,,,,,,,,
Coca-Cola Soda Pop Classic -,Coca-Cola Soda Pop Classic -,Carbonated Water,High Fructose Corn Syrup,Caramel Color,Phosphoric Acid,Natural Flavor,Caffeine,,,,,,,,,,,,,,,,,
Diet Coke Soda Pop Cola,Diet Coke Soda Pop Cola,Carbonated Water,Caramel Color,Aspartame,Phosphoric Acid,Potassium Benzoate,Natural Flavor,Citric Acid,Caffeine,,,,,,,,,,,,,,,
Sprite Soda Lemon Lime -,Sprite Soda Lemon Lime -,Carbonated Water,High Fructose Corn Syrup,Citric Acid,Natural Flavor,Sodium Citrate,Sodium Benzoate,,,,,,,,,,,,,,,,,
Coca-Cola Zero Sugar Soda Bottles -,Coca-Cola Zero Sugar Soda Bottles -,Carbonated Water,Caramel Color,Phosphoric Acid,Aspartame,Potassium Benzoate,Natural Flavor,Potassium Citrate,Acesulfame Potassium,Caffeine,,,,,,,,,,,,,,
Pepsi Max Soda Cola Zero Calorie -,Pepsi Max Soda Cola Zero Calorie -,Carbonated Water,Caramel Color,Phosphoric Acid,Aspartame,Potassium Benzoate,Caffeine,Natural Flavor,Acesulfame Potassium,Citric Acid,Calcium Disodium Edta,Panax Ginseng Root Extract,,,,,,,,,,,,
Pepsi Soda Cola Zero Sugar Cans -,Pepsi Soda Cola Zero Sugar Cans -,Carbonated Water,Caramel Color,Phosphoric Acid,Aspartame,Potassium Benzoate,Caffeine,Natural Flavor,Acesulfame Potassium,Citric Acid,Calcium Disodium Edta,Panax Ginseng Root Extract,,,,,,,,,,,,
Diet Coke Soda Plus -,Diet Coke Soda Plus -,Carbonated Water,Magnesium Sulfate,Caramel Color,Phosphoric Acid,Potassium Sorbate And Potassium Benzoate,Aspartame,Natural Flavor,Acesulfame Potassium,Caffeine,Zinc Gluconate,Niacinamide,Pyridoxine Hydrochloride,Cyanocobalamin,,,,,,,,,,
Coca-Cola Soda Pop Vanilla Zero Sugar -,Coca-Cola Soda Pop Vanilla Zero Sugar -,Carbonated Water,Caramel Color,Phosphoric Acid,Natural Flavor,Aspartame,Potassium Benzoate,Potassium Citrate,Acesulfame Potassium,Caffeine,,,,,,,,,,,,,,
Coca-Cola Zero Sugar Soda Bottles -,Coca-Cola Zero Sugar Soda Bottles -,Carbonated Water,Caramel Color,Phosphoric Acid,Aspartame,Potassium Benzoate,Natural Flavor,Potassium Citrate,Acesulfame Potassium,Caffeine,,,,,,,,,,,,,,
Signature SELECT Soda Cherry Cola -,Signature SELECT Soda Cherry Cola -,Carbonated Water,High Fructose Corn Syrup,Caramel Color,Phosphoric Acid,Natural Flavor,Caffeine,,,,,,,,,,,,,,,,,
Signature SELECT Soda Diet Cola -,Signature SELECT Soda Diet Cola -,Carbonated Water,Caramel Color,Aspartame,Phosphoric Acid,Potassium Citrate,Potassium Benzoate,Natural Flavor,Caffeine,,,,,,,,,,,,,,,
Diet Coke Soda Pop Cola -,Diet Coke Soda Pop Cola -,Carbonated Water,Caramel Color,Aspartame,Phosphoric Acid,Potassium Benzoate,Natural Flavor,Citric Acid,Caffeine,,,,,,,,,,,,,,,
Diet Coke Soda Pop Cola Caffeine Free -,Diet Coke Soda Pop Cola Caffeine Free -,Carbonated Water,Caramel Color,Aspartame,Phosphoric Acid,Potassium Benzoate,Natural Flavor,Citric Acid,,,,,,,,,,,,,,,,
Signature SELECT Soda Diet Cola -,Signature SELECT Soda Diet Cola -,Carbonated Water,Caramel Color,Aspartame,Phosphoric Acid,Potassium Citrate,Potassium Benzoate,Natural Flavor,Caffeine,,,,,,,,,,,,,,,
Pepsi Soda Diet Wild Cherry -,Pepsi Soda Diet Wild Cherry -,Carbonated Water,Caramel Color,Phosphoric Acid,Natural Flavor,Aspartame,Potassium Benzoate,Potassium Citrate,Citric Acid,Caffeine,Acesulfame Potassium,Calcium Disodium Edta,,,,,,,,,,,,
Signature SELECT Soda Ginger Ale Diet -,Signature SELECT Soda Ginger Ale Diet -,Carbonated Water,Citric Acid,Natural Flavor,Potassium Benzoate,Aspartame,Acesulfame Potassium,Caramel Color,,,,,,,,,,,,,,,,
Vernors Zero Sugar Ginger Soda In Can -,Vernors Zero Sugar Ginger Soda In Can -,Carbonated Water,Aspartame,Citric Acid,Caramel Color,Sodium Benzoate,Natural And Artificial Flavors,Potassium Citrate,,,,,,,,,,,,,,,,
Mtn Dew Soda Diet -,Mtn Dew Soda Diet -,Carbonated Water,Concentrated Orange Juice,Citric Acid,Natural Flavor,Potassium Benzoate,Citrus Pectin,Aspartame,Potassium Citrate,Caffeine,Sodium Citrate,Acesulfame Potassium,Sucralose,Gum Arabic,Sodium Benzoate,Calcium Disodium Edta,Yellow 5,,,,,,,
Dr Pepper Diet Soda Bottle -,Dr Pepper Diet Soda Bottle -,Carbonated Water,Caramel Color,Aspartame,Phosphoric Acid,Natural And Artificial Flavors,Sodium Benzoate,Caffeine,,,,,,,,,,,,,,,,
,,Filtered Carbonated Water,Citric Acid,Potassium Citrate,Potassium Benzoate,Aspartame,Acesulfame Potassium,Natural Flavor,Calcium Disodium Edta,,,,,,,,,,,,,,,
,,Filtered Carbonated Water,Citric Acid,Potassium Benzoate,Aspartame,Potassium Citrate,Acesulfame Potassium,Natural Flavor,Red 40,,,,,,,,,,,,,,,
,,Filtered Carbonated Water,Citric Acid,Potassium Citrate,Potassium Benzoate,Aspartame,Acesulfame Potassium,Natural Flavor,Calcium Disodium Edta,,,,,,,,,,,,,,,
Signature SELECT Soda Lemon Lime -,Signature SELECT Soda Lemon Lime -,Carbonated Water,High Fructose Corn Syrup,Citric Acid,Natural Flavor,Sodium Citrate,Sodium Benzoate,,,,,,,,,,,,,,,,,
Signature SELECT Soda Root Beer -,Signature SELECT Soda Root Beer -,Carbonated Water,High Fructose Corn Syrup,Caramel Color,Potassium Benzoate,Natural And Artificial Flavors,Citric Acid,,,,,,,,,,,,,,,,,
Signature SELECT Soda Punch -,Signature SELECT Soda Punch -,Carbonated Water,High Fructose Corn Syrup,Citric Acid,Sodium Benzoate,Gum Acacia,Natural And Artificial Flavor,Red 40,Caramel Color,Ester Gum,Calcium Disodium Edta,Brominated Vegetable Oil,,,,,,,,,,,,
Henry Weinhard,Henry Weinhard,Carbonated Water,Cane Sugar,Natural And Artificial Flavors,Citric Acid,Sodium Benzoate,Quillaja Extract,Fd&C Yellow 6,,,,,,,,,,,,,,,,
Sprite Soda Pop Lemon Lime Bottle -,Sprite Soda Pop Lemon Lime Bottle -,Carbonated Water,High Fructose Corn Syrup,Citric Acid,Natural Flavor,Sodium Citrate,Sodium Benzoate,,,,,,,,,,,,,,,,,
Reeds Soda Ginger Brew Extra Ginger Brew -,Reeds Soda Ginger Brew Extra Ginger Brew -,Sparkling Filtered Water,Cane Sugar,Pineapple Juice From Concentrate,Honey,Ginger Root,Lemon And Lime Juices From Concentrate,Spices,,,,,,,,,,,,,,,,
Fanta Soda Pop Strawberry Flavored In Can -,Fanta Soda Pop Strawberry Flavored In Can -,Carbonated Water,High Fructose Corn Syrup,Natural Flavor,Citric Acid,Sodium Benzoate,Red 40,,,,,,,,,,,,,,,,,
,,Filtered Carbonated Water,Citric Acid,Potassium Citrate,Potassium Benzoate,Natural Flavor,Aspartame,Acesulfame Potassium,Calcium Disodium Edta,,,,,,,,,,,,,,,
Signature SELECT Soda Ginger Ale -,Signature SELECT Soda Ginger Ale -,Carbonated Water,High Fructose Corn Syrup,Citric Acid,Sodium Benzoate,Natural Flavor,Caramel Color,,,,,,,,,,,,,,,,,
Signature SELECT Soda Lemon Lime -,Signature SELECT Soda Lemon Lime -,Carbonated Water,High Fructose Corn Syrup,Citric Acid,Natural Flavor,Sodium Citrate,Sodium Benzoate,,,,,,,,,,,,,,,,,
Signature SELECT Soda Root Beer -,Signature SELECT Soda Root Beer -,Carbonated Water,High Fructose Corn Syrup,Caramel Color,Potassium Benzoate,Natural And Artificial Flavors,Citric Acid,,,,,,,,,,,,,,,,,
Mtn Dew Soda -,Mtn Dew Soda -,Carbonated Water,High Fructose Corn Syrup,Concentrated Orange Juice,Citric Acid,Natural Flavor,Sodium Benzoate,Caffeine,Sodium Citrate,Gum Arabic,Erythorbic Acid,Calcium Disodium Edta,Yellow 5,,,,,,,,,,,
,,Filtered Carbonated Water,High Fructose Corn Syrup,Citric Acid,Potassium Citrate,Natural Flavor,Calcium Disodium Edta,,,,,,,,,,,,,,,,,
Schweppes Ginger Ale Soda Bottle -,Schweppes Ginger Ale Soda Bottle -,Carbonated Water,High Fructose Corn Syrup,Citric Acid,Sodium Benzoate,Caramel Color,Natural Flavor,,,,,,,,,,,,,,,,,
Mtn Dew Soda Code Red -,Mtn Dew Soda Code Red -,Carbonated Water,High Fructose Corn Syrup,Concentrated Orange Juice,Citric Acid,Sodium Polyphosphates,Sodium Benzoate,Natural Flavor,Caffeine,Sodium Citrate,Gum Arabic,Calcium Disodium Edta,Red 40,Yellow 5,Blue 1,,,,,,,,,
Mtn Dew Soda Original -,Mtn Dew Soda Original -,Carbonated Water,High Fructose Corn Syrup,Concentrated Orange Juice,Citric Acid,Natural Flavor,Sodium Benzoate,Caffeine,Sodium Citrate,Gum Arabic,Erythorbic Acid,Calcium Disodium Edta,Yellow 5,,,,,,,,,,,
Signature SELECT Soda Dr,Signature SELECT Soda Dr,Carbonated Water,High Fructose Corn Syrup,Caramel Color,Phosphoric Acid,Natural And Artificial Flavor,Sodium Benzoate,Caffeine,,,,,,,,,,,,,,,,
Mtn Dew Soda Diet -,Mtn Dew Soda Diet -,Carbonated Water,Concentrated Orange Juice,Citric Acid,Natural Flavor,Potassium Benzoate,Citrus Pectin,Aspartame,Potassium Citrate,Caffeine,Sodium Citrate,Acesulfame Potassium,Sucralose,Gum Arabic,Sodium Benzoate,Calcium Disodium Edta,Yellow 5,,,,,,,
Mtn Dew Soda Diet -,Mtn Dew Soda Diet -,Carbonated Water,Concentrated Orange Juice,Citric Acid,Natural Flavor,Potassium Benzoate,Citrus Pectin,Aspartame,Potassium Citrate,Caffeine,Sodium Citrate,Acesulfame Potassium,Sucralose,Gum Arabic,Sodium Benzoate,Calcium Disodium Edta,Yellow 5,,,,,,,
Vernors Ginger Soda In Can -,Vernors Ginger Soda In Can -,Carbonated Water,High Fructose Corn Syrup,Citric Acid,Sodium Benzoate,Caramel Color,Natural And Artificial Flavors,,,,,,,,,,,,,,,,,
,,Filtered Carbonated Water,High Fructose Corn Syrup,Citric Acid,Potassium Citrate,Natural Flavor,Calcium Disodium Edta,,,,,,,,,,,,,,,,,
,,Filtered Carbonated Water,Citric Acid,Potassium Citrate,Potassium Benzoate,Aspartame,Acesulfame Potassium,Natural Flavor,Calcium Disodium Edta,,,,,,,,,,,,,,,
,,Filtered Carbonated Water,Citric Acid,Potassium Citrate,Potassium Benzoate,Aspartame,Acesulfame Potassium,Natural Flavor,Calcium Disodium Edta,,,,,,,,,,,,,,,
MUG Soda Root Beer No Caffeine -,MUG Soda Root Beer No Caffeine -,Carbonated Water,High Fructose Corn Syrup,Caramel Color,Sodium Benzoate,Citric Acid,Natural And Artificial Flavor,Calcium Disodium Edta,Quillaia Extract,,,,,,,,,,,,,,,
Mtn Dew Soda Original -,Mtn Dew Soda Original -,Carbonated Water,High Fructose Corn Syrup,Concentrated Orange Juice,Citric Acid,Natural Flavor,Sodium Benzoate,Caffeine,Sodium Citrate,Gum Arabic,Erythorbic Acid,Calcium Disodium Edta,Yellow 5,,,,,,,,,,,
Schweppes Ginger Ale Soda Bottle -,Schweppes Ginger Ale Soda Bottle -,Carbonated Water,High Fructose Corn Syrup,Citric Acid,Sodium Benzoate,Caramel Color,Natural Flavor,,,,,,,,,,,,,,,,,
